Probeta 8;Probeta 8;;;;;
Deformación;Fuerza estándar;;area inicial;diametro inicial;;1000000
%;N;;2,82743E-05;0,006;;
0;-4,260035515;21123,42969;;;;
-1,7593E-06;-4,535326481;;MPa ingenieril;MPa real;;% real
0,70047829;266,1390991;;9,268723613;15,68088343;;0,525796674
0,704883248;268,2050476;;9,341067357;15,84341973;;0,528333731
0,709214642;270,2317505;;9,41274515;16,00616877;;0,530909558
0,713576415;272,2713318;;9,485813131;16,1722039;;0,533496632
0,717965911;274,3735352;;9,557493082;16,33580712;;0,536033992
0,722315032;276,5522156;;9,629628515;16,50110431;;0,538582657
0,726693283;278,6861877;;9,70397875;16,67110469;;0,541140981
0,731093478;280,8244934;;9,781033807;16,84602156;;0,543669335
0,735445332;282,9867554;;9,856507634;17,01916552;;0,546208182
0,739766809;285,2088318;;9,932134726;17,19345364;;0,548753277
0,744165676;287,4943542;;10,0086091;17,36939395;;0,551264056
0,748540568;289,7561646;;10,08719898;17,54937397;;0,553751086
0,752876101;292,0977173;;10,1680328;17,7347338;;0,556276319
0,757263645;294,4341125;;10,24802797;17,91909266;;0,558781479
0,761663606;296,7640381;;10,33084346;18,10868861;;0,561257925
0,766019834;299,071991;;10,41347654;18,29922374;;0,563757852
0,770388166;301,4398193;;10,4958808;18,49021121;;0,566258593
0,77479086;303,8340759;;10,57750793;18,6800888;;0,568728333
0,779153413;306,2874146;;10,66125273;18,87455567;;0,571198825
0,783458646;308,7296448;;10,74593224;19,07178231;;0,573682591
0,787837053;311,2051697;;10,83270134;19,27303757;;0,576137641
0,792216397;313,7098083;;10,91907757;19,47372329;;0,578554539
0,796559427;316,2315369;;11,00663135;19,67806335;;0,581006539
0,800949547;318,7715149;;11,09521482;19,88502593;;0,583453064
0,805321706;321,3406982;;11,18440272;20,09344414;;0,585873406
0,809665752;324,0186462;;11,27423607;20,30433035;;0,588314052
0,814031976;326,7232971;;11,36510234;20,51766596;;0,590738807
0,818445603;329,3833618;;11,45981538;20,73843541;;0,593142161
0,822798395;331,9973145;;11,55547284;20,96199722;;0,595551979
0,827108235;334,6526489;;11,64955338;21,18407912;;0,597982072
0,831489843;337,3261719;;11,74200304;21,40330429;;0,6003729
0,835887071;340,0291138;;11,83591629;21,62550012;;0,602734518
0,840222994;342,6769409;;11,93047282;21,8505398;;0,605129758
0,844592732;345,305542;;12,02606983;22,07850612;;0,607527782
0,848991912;347,9252014;;12,11971756;22,30298294;;0,609886757
0,853354544;350,4759216;;12,21268531;22,52743056;;0,612258512
0,857736152;352,9871521;;12,30533681;22,75246823;;0,614640578
0,862135644;355,5383301;;12,39555008;22,97334906;;0,616997264
0,866482579;358,0905457;;12,48436669;23,19265934;;0,619358624
0,870798745;360,6382141;;12,57459615;23,41560371;;0,621724025
0,875197768;363,1197815;;12,66486231;23,63874487;;0,624055686
0,879576175;365,5651855;;12,75496765;23,86197748;;0,626365476
