Deformacion;Fuerza
0,839981411;151,9701691
0,844759969;153,0023956
0,849473523;154,0650024
0,854186908;155,0965118
0,858970642;156,1530304
0,863702951;157,2157898
0,868426688;158,2785797
0,873203719;159,292511
0,877971839;160,306076
0,887463357;162,1537628
0,896972272;164,1319733
0,906428233;166,1030273
0,91588988;167,8682098
0,92542298;169,773468
0,930135601;170,8079834
0,934890737;171,8108063
0,944390063;173,7142487
0,953868597;175,6664886
0,958624243;176,7166748
0,963339833;177,7382202
0,972883881;179,6521759
0,982389486;181,4962006
0,987160407;182,5123291
0,996574786;184,4161224
1,006095157;186,2352142
1,015577849;188,1921844
1,025059863;190,2433167
1,029827135;191,2705078
1,039309063;193,1604309
1,044017101;194,1623993
1,048788531;195,2122955
1,053536285;196,2404022
1,058256373;197,2668304
1,067792613;199,1911316
1,077290072;201,0933228
1,082094852;202,195816
1,086798138;203,2621307
1,096236533;205,2188721
1,101019079;206,222702
1,110487345;208,2448425
1,115253683;209,3576355
1,119971056;210,4673615
1,124740195;211,5312195
1,129514425;212,5626831
1,134232477;213,6337891
1,138937799;214,750473
1,143709059;215,8684387
1,148451297;217,0211029
1,153165699;218,1482544
1,157951895;219,1741028
1,162721203;220,1786652
1,172210006;222,1862488
1,176988734;223,2393494
1,181713659;224,2840118
1,191167159;226,1908875
1,200641705;228,040741
1,205415935;229,0821686
1,210169459;230,1148834
1,214885729;231,1781464
1,224444712;233,1198425
1,233843137;235,065567
1,238612615;236,0905151
1,243375898;237,1395416
1,24809361;238,147644
1,252856978;239,1663055
1,262368354;241,1031647
1,267138766;242,1599731
1,271905443;243,1837463
1,276609068;244,2127075
1,286098889;246,2087402
1,290845285;247,2404022
1,295557227;248,2927704
1,300328147;249,3213043
1,305091006;250,4445496
1,309806342;251,5807037
1,314574802;252,6581726
1,319350899;253,7977295
1,324066659;254,9470367
1,328772576;256,122467
1,333533568;257,2956238
1,33828811;258,4190369
1,343005483;259,5323486
1,347786587;260,599823
1,357263424;262,5837097
1,362026961;263,625946
1,366833694;264,6386719
1,376226178;266,5516968
1,385757836;268,4702454
1,395235522;270,4303894
1,400003133;271,495697
1,40472704;272,5450439
1,409484213;273,5625916
1,418974543;275,625
1,423689879;276,789917
1,428462667;277,925354
1,433202358;279,022644
1,437914894;280,086792
1,442697695;281,1923828
1,447470483;282,2316895
1,452196766;283,3125305
1,456968875;284,4163208
1,461744887;285,5401001
1,466459459;286,6255493
1,471160454;287,6259766
1,475924246;288,6315002
1,480671236;289,7136536
1,485383262;290,7993774
1,490159784;291,9133301
1,494913392;293,030304
1,499629832;294,1734009
1,504399564;295,2903442
1,509187966;296,3447571
1,513887434;297,4368591
1,518588937;298,5979919
1,523356803;299,7575684
1,52812348;300,8677368
1,532845181;302,0068359
1,537608973;303,1371155
1,542371238;304,2948303
1,547106347;305,3581238
1,551884396;306,4884338
1,556664142;307,6999207
1,561368022;308,848877
1,566069017;309,9892273
1,570847405;311,1333618
1,575595413;312,2992554
1,580304894;313,4878235
1,585075305;314,6367188
1,589842152;315,7964783
1,594550275;317,078949
1,599313558;318,3037415
1,60409585;319,4916077
1,608818569;320,7315979
1,613525334;321,996582
1,618281998;323,2627563
1,62303391;324,5525513
1,627748822;325,8380127
1,632534678;327,1367493
1,637293888;328,3791809
1,642013382;329,566925
1,646783963;330,7909851
1,651583906;332,0513306
1,656290672;333,283844
1,660980295;334,4442139
1,665745614;335,6164246
1,670508388;336,8200684
1,675220415;338,0245056
1,679970969;339,2394104
1,684741041;340,5026245
1,689473773;341,8054199
1,694240451;343,1055298
1,69900594;344,3630676
1,703715251;345,6731567
1,708431012;347,0593567
1,713212964;348,4906616
1,717954862;349,8933411
1,722669435;351,2627563
1,727446805;352,6108398
1,732224005;353,9467468
1,736946215;355,2483521
1,741712893;356,5308838
1,746496712;357,8296814
1,751210436;359,0759277
1,755906339;360,2752686
1,760677429;361,4234314
1,765430868;362,611908
1,770143913;363,8284607
1,774914324;365,0387878
1,779666236;366,244812
1,784370965;367,4716187
1,789141885;368,7353821
1,793938773;369,9635315
1,798641295;371,2156067
1,803340084;372,5521851
1,808103027;373,8835449
1,812871232;375,1034546
1,817593612;376,364624
1,822354689;377,6205444
1,827119329;378,8839722
1,831852232;380,0755615
1,836625698;381,2270203
1,841404426;382,4651794
1,846117471;383,6842041
1,850819993;384,8361206
1,855597363;385,993103
1,860344862;387,2149658
1,865051627;388,392395
1,869824584;389,5969543
1,87459228;390,8210144
1,879311775;392,1330261
1,884071324;393,362854
1,888844281;394,5659485
1,893557496;395,787323
1,898269352;396,9884338
1,903034333;398,2466125
1,907783359;399,4749146
1,91249878;400,7116394
1,917279714;401,9044189
1,922037057;403,0743103
1,926763171;404,1544495
1,931529169;405,3180847
1,936325209;406,4559631
1,941037405;407,5758667
1,945729744;408,7007751
1,950489632;409,7739868
1,95526242;410,896698
1,959975125;411,9931946
1,964724661;413,1144409
1,969490999;414,2665405
1,974223901;415,4317627
1,978981753;416,5805359
1,983758614;417,7572021
1,988466228;418,9470825
1,993173333;420,1672363
1,997959528;421,3838806
2,002695316;422,5706177
2,007412774;423,7458496
2,012194387;424,9395142
2,016964629;426,1105957
2,021689894;427,2873535
2,026465736;428,4538269
2,031244464;429,675354
2,035961413;430,8739929
2,040655618;432,0483398
2,045416525;433,2324829
2,050174716;434,4461365
2,054889459;435,7051697
2,059669884;436,9446106
2,06441297;438,2106628
2,069127203;439,533844
2,073885903;440,9246521
2,078688901;442,2605286
2,083390575;443,6325684
2,08808495;445,0541992
2,092851458;446,4572144
2,097616947;447,811554
2,102345437;449,2317505
2,107098706;450,6813354
2,11187387;452,1064453
2,116606603;453,4398499
2,121376675;454,7265625
2,126151329;456,0397644
2,130863526;457,3334656
2,135570291;458,5757141
2,140352922;459,8579712
2,145085316;461,1361694
2,149799718;462,3298645
2,1545703;463,5172729
2,159336298;464,6610107
2,164054095;465,9147339
2,168821621;467,1426086
2,173596785;468,3042908
2,178305757;469,4317627
2,183016765;470,5600891
2,187782764;471,6943665
2,192534166;472,8223877
2,197248059;473,9005127
2,202028994;474,9571228
2,206787015;476,0127869
2,216274036;477,9697266
2,221071942;478,9794922
2,225782951;480,0345764
2,235237893;481,9730835
2,244723217;483,9738464
